country,skill,count
Australia,Communication,462
Australia,Leadership,336
Australia,Teamwork,270
Australia,Communication skills,166
Australia,Customer service,158
Australia,Customer Service,148
Australia,Collaboration,140
Australia,Problem Solving,128
Australia,Sales,128
Australia,Project Management,126
Australia,Attention to detail,118
Australia,Time Management,116
Australia,Communication Skills,112
Australia,Problemsolving,112
Australia,Training,106
Australia,Time management,106
Australia,Interpersonal skills,94
Australia,Flexibility,92
Australia,Interpersonal Skills,86
Australia,Microsoft Office Suite,86
Australia,Attention to Detail,84
Australia,Negotiation,80
Australia,Adaptability,78
Australia,Budgeting,72
Australia,Working with Children Check,70
Australia,Coaching,66
Australia,Compliance,64
Australia,Reporting,64
Australia,AHPRA registration,64
Australia,Mentoring,62
Canada,Communication,1160
Canada,Teamwork,750
Canada,Leadership,732
Canada,Customer service,432
Canada,Problem Solving,380
Canada,Communication skills,360
Canada,Problemsolving,340
Canada,Collaboration,326
Canada,Customer Service,308
Canada,Project Management,288
Canada,Communication Skills,278
Canada,Time Management,268
Canada,Sales,264
Canada,Time management,250
Canada,Adaptability,246
Canada,Training,244
Canada,Microsoft Office Suite,242
Canada,Interpersonal skills,220
Canada,Nursing,214
Canada,Attention to detail,204
Canada,Problem solving,198
Canada,Multitasking,198
Canada,Microsoft Office,198
Canada,Interpersonal Skills,186
Canada,Organizational skills,180
Canada,Attention to Detail,176
Canada,Organization,176
Canada,Flexibility,172
Canada,Excel,158
Canada,Project management,158
United Kingdom,Communication,1852
United Kingdom,Teamwork,946
United Kingdom,Leadership,848
United Kingdom,Communication skills,608
United Kingdom,Customer service,504
United Kingdom,Problem Solving,492
United Kingdom,Sales,490
United Kingdom,Customer Service,484
United Kingdom,Project Management,468
United Kingdom,Communication Skills,456
United Kingdom,Flexibility,414
United Kingdom,Attention to detail,414
United Kingdom,Time Management,374
United Kingdom,Adaptability,372
United Kingdom,Problemsolving,370
United Kingdom,Collaboration,368
United Kingdom,Training,366
United Kingdom,Attention to Detail,348
United Kingdom,Time management,340
United Kingdom,Microsoft Office Suite,302
United Kingdom,Microsoft Office,300
United Kingdom,Data Analysis,278
United Kingdom,Project management,272
United Kingdom,Negotiation,244
United Kingdom,Reporting,236
United Kingdom,Mentoring,216
United Kingdom,Problem solving,214
United Kingdom,Team Management,212
United Kingdom,Motivation,210
United Kingdom,Interpersonal Skills,204
United States,Communication,23412
United States,Teamwork,14758
United States,Leadership,12034
United States,Customer service,11812
United States,Communication skills,7404
United States,Customer Service,7094
United States,Nursing,6250
United States,Problemsolving,6060
United States,Problem Solving,6040
United States,Training,5938
United States,Sales,5750
United States,Collaboration,5340
United States,Attention to detail,4808
United States,Project Management,4658
United States,Communication Skills,4656
United States,Time management,4634
United States,Scheduling,4622
United States,Microsoft Office Suite,4420
United States,Time Management,4070
United States,Patient Care,4070
United States,Multitasking,3828
United States,Interpersonal skills,3590
United States,Microsoft Office,3582
United States,Flexibility,3554
United States,Documentation,3476
United States,Adaptability,3314
United States,Attention to Detail,3308
United States,Safety,3258
United States,Patient care,2996
United States,Problem solving,2896
